name,sku,description,category,observations,price,stock
"Desinfetante Lavanda Remmus 5 L","7898964012268","Marca: Remmus. Categoria: Limpeza. Tipo: Desinfetantes. Embalagem: 5L. O Desinfetante Lavanda Remmus 5L é um produto de limpeza doméstica que limpa, desinfeta e perfuma ambientes com sua fragrância de lavanda. Sua fórmula contém cloreto de alquil dimetil benzil amônio e cloreto de didecil dimetil amônio, agentes ativos com propriedades bactericidas e germicidas. Indicado para uso em pisos, paredes, louças sanitárias, ralos e superfícies em geral, eliminando microrganismos responsáveis pelo mau cheiro. A embalagem de 5 litros proporciona maior economia e praticidade para o usuário.","Para Casa","EAN/GTIN: 7898964012268",14.90,1
"Desinfetante Limão Pinho Sol 1 L","7891024195604","Marca: Pinho Sol. Categoria: Limpeza. Tipo: Desinfetantes. Embalagem: 1L. O Desinfetante Pinho Sol Limão 1L é um produto de limpeza doméstica que elimina 99,9% dos germes, bactérias e fungos, proporcionando uma limpeza eficaz e perfumada com fragrância de limão. Sua fórmula rende até 50 litros, permitindo diluição para uso em diversas superfícies. Ideal para desinfetar pisos, azulejos e outras áreas da casa, mantendo o ambiente higienizado e com aroma agradável.","Para Casa","EAN/GTIN: 7891024195604",15.90,3
"Desinfetante Multissuperfícies Power Action Lavanda Veja 1 L","veja.desinfetantemulti.1","Marca: Veja. Categoria: Limpeza. Tipo: Limpadores. Embalagem: 1 Litro. O desinfetante multisuperfícies Veja Power Action na fragrância lavanda é ideal para a limpeza e desinfecção de diversas superfícies em sua casa. Com sua fórmula eficaz, ele ajuda a manter o ambiente limpo e agradável. Disponível na Dona Antônia, você pode encontrá-lo em Cuiabá e Várzea Grande para facilitar sua rotina de limpeza.","Para Casa","EAN/GTIN: 7891035001673",12.90,7
"Desinfetante Natural Essentials Lavanda e Melaleuca Pinho Sol 1 L","7509546662770","Marca: Pinho Sol. Categoria: Limpeza. Tipo: Desinfetantes. Embalagem: 1L. O Desinfetante Pinho Sol Natural Essentials Lavanda e Melaleuca 1L combina ativos biodegradáveis com fragrância de lavanda e melaleuca, proporcionando limpeza eficaz e respeito ao meio ambiente. Sua fórmula elimina até 99,9% dos germes e bactérias, sendo indicada para desinfecção de azulejos, pisos, sanitários, pias e ralos. A embalagem de 1 litro é 100% reciclável, reforçando o compromisso com a sustentabilidade.","Para Casa","EAN/GTIN: 7509546662770",15.90,3
"Desinfetante Original Lysoform 1 L","1048790559","Marca: Lysoform. Categoria: Limpeza. Tipo: Desinfetantes. Embalagem: 1 LITRO. Desinfetante Original Lysoform 1 L Lysoform LIMPEZA DESINFETANTE DESINFETANTE DOMÉSTICO 1 LITRO Para Casa Limpeza Desinfetantes","Para Casa","EAN/GTIN: 7897000800548",17.90,2
"Desinfetante Original Pinho Sol 1 L","P4845","Marca: Pinho Sol. Categoria: Limpeza. Tipo: Desinfetantes. Embalagem: 1 Litro. Desinfetante Original Pinho Sol 1 L Pinho Sol LIMPEZA DESINFETANTE DESINFETANTE DOMÉSTICO 1 Litro Para Casa Limpeza Desinfetantes","Para Casa","EAN/GTIN: 7891024194607",16.90,10
"Desinfetante Original Pinho Sol 3,8 L","7509546660134","Marca: Pinho Sol. Categoria: Limpeza. Tipo: Desinfetantes. Embalagem: 3,8L. Desinfetante Pinho Sol Original 3,8L elimina 99,9% das bactérias, germes e fungos, proporcionando limpeza e desinfecção eficazes. Sua fragrância de pinho deixa o ambiente perfumado por mais tempo. Ideal para uso em pisos, azulejos, sanitários, pias e ralos.","Para Casa","EAN/GTIN: 7509546660134",49.90,1
"Desinfetante Perfumado Floral Remmus","7898964012039","Marca: Remmus. Categoria: Limpeza. Tipo: Desinfetantes. Embalagem: 1L. O Desinfetante Perfumado Floral Remmus 2L limpa, desinfeta e perfuma ambientes, deixando sua casa livre de bactérias. Sua fragrância floral proporciona um aroma agradável e duradouro. Embalagem de 1 litro.","Para Casa","EAN/GTIN: 7898964012039",6.90,2
"Desinfetante Remmus Química Vitória Campestre 2L","7898964012107","Marca: Remmus. Categoria: Limpeza. Tipo: Desinfetantes. Embalagem: 2L. O Desinfetante Remmus Química Vitória Campestre 2L é um produto de limpeza doméstica que elimina 99,9% das bactérias, proporcionando um ambiente higienizado e perfumado com a fragrância Vitória Campestre. Sua embalagem de 2 litros oferece maior durabilidade, sendo ideal para uso prolongado. Além disso, possui perfume prolongado, mantendo o ambiente com aroma agradável por mais tempo.","Para Casa","EAN/GTIN: 7898964012107",6.90,2
"Desinfetante Suave Odor Lysoform 1 L","6599510822","Marca: Lysoform. Categoria: Limpeza. Tipo: Desinfetantes. Embalagem: 1 LITRO. Desinfetante Suave Odor Lysoform 1 L Lysoform LIMPEZA DESINFETANTE DESINFETANTE DOMÉSTICO 1 LITRO Para Casa Limpeza Desinfetantes","Para Casa","EAN/GTIN: 7897000800814",17.90,3
"Desinfetante Urca 2 L","77476395","Marca: Urca. Categoria: Limpeza. Tipo: Desinfetantes. Embalagem: Unidade. Desinfetante Urca 2 L Urca LIMPEZA DESINFETANTE DESINFETANTE DOMÉSTICO Unidade Para Casa Limpeza Desinfetantes","Para Casa","EAN/GTIN: 7896056402485",6.50,2
"Desodorante Aerosol Bamboo Rexona 200 ml","88430400","Marca: Rexona. Categoria: Higiene Pessoal. Tipo: Desodorantes. Embalagem: 200ml. Desodorante Aerosol Bamboo Rexona 200 ml Rexona DESODORANTE AEROSOL DESODORANTE AEROSSOL 200ml Para Você Higiene Pessoal Desodorantes","Para Você","EAN/GTIN: 7891150068865",19.90,11
"Desodorante Aerosol Cotton Dry Rexona 200 ml","79344981","Marca: Rexona. Categoria: Higiene Pessoal. Tipo: Desodorantes. Embalagem: 200ml. Desodorante Aerosol Cotton Dry Rexona 200 ml Rexona DESODORANTE AEROSOL DESODORANTE AEROSSOL 200ml Para Você Higiene Pessoal Desodorantes","Para Você","EAN/GTIN: 7791293035826",19.90,5
"Desodorante Aerosol Cream Original Above 250 ml","7899674045898","Marca: Above. Categoria: Higiene Pessoal. Tipo: Desodorantes. Embalagem: 250 ml. O Desodorante Aerosol Above Cream Original 250 ml oferece proteção antitranspirante por até 72 horas, mantendo a pele hidratada sem álcool. Sua embalagem de 250 ml proporciona longa duração, ideal para uso diário.","Para Você","EAN/GTIN: 7899674045898",12.90,5
"Desodorante Aerosol Cream Sugar Above 150 ml","P0118","Marca: Above. Categoria: Higiene Pessoal. Tipo: Desodorantes. Embalagem: 150ml. O Above Desodorante Aerosol Cream Sugar oferece uma proteção eficaz contra odores, mantendo a sensação de frescor ao longo do dia. Com sua fórmula leve e cremosa, proporciona conforto e suavidade à pele. Ideal para quem busca um desodorante prático e eficiente, disponível em Cuiabá e Várzea Grande através da Dona Antônia.","Para Você","EAN/GTIN: 7899674036674",10.90,8
"Desodorante Aerosol Deep Carvão NIVEA 150 ml","P0110","Marca: NIVEA. Categoria: Higiene Pessoal. Tipo: Desodorantes. Embalagem: 150ml. O Desodorante NIVEA Deep Carvão Aerosol 150ml é ideal para quem busca proteção e frescor ao longo do dia. Indicado para uso diário, proporciona uma sensação de limpeza e conforto. Na Dona Antônia, você encontra produtos de higiene e beleza para Cuiabá e Várzea Grande.","Para Você","EAN/GTIN: 4005805455266",15.90,5
"Desodorante Aerosol Detox Fresh Monange 150 ml","79824523","Marca: Monange. Categoria: Higiene Pessoal. Tipo: Desodorantes. Embalagem: 150ml. Desodorante Aerosol Detox Fresh Monange 150 ml Monange DESODORANTE AEROSOL DESODORANTE AEROSSOL 150ml Para Você Higiene Pessoal Desodorantes","Para Você","EAN/GTIN: 7896235353904",9.90,10
"Desodorante Aerosol Feminino Protec Care NIVEA 150 ml","P0112","Marca: NIVEA. Categoria: Higiene Pessoal. Tipo: Desodorantes. Embalagem: 150ml. O desodorante aerosol feminino NIVEA Protec Care é ideal para o uso diário, proporcionando frescor e proteção. Com sua fórmula suave, é perfeito para quem busca conforto e segurança ao longo do dia. Disponível na Dona Antônia, em Cuiabá e Várzea Grande, é uma excelente escolha para quem valoriza cuidados pessoais.","Para Você","EAN/GTIN: 4005900122186",15.90,21
"Desodorante Aerosol Frutas Vermelhas Rexona 200 ml","88559704","Marca: Rexona. Categoria: Higiene Pessoal. Tipo: Desodorantes. Embalagem: 200ml. Desodorante Aerosol Frutas Vermelhas Rexona 200 ml Rexona DESODORANTE AEROSOL DESODORANTE AEROSSOL 200ml Para Você Higiene Pessoal Desodorantes","Para Você","EAN/GTIN: 7891150068858",19.90,1
"Desodorante Aerosol Invisible Rexona 200 ml","88360449","Marca: Rexona. Categoria: Higiene Pessoal. Tipo: Desodorantes. Embalagem: 200ml. Desodorante Aerosol Invisible Rexona 200 ml Rexona DESODORANTE AEROSOL DESODORANTE AEROSSOL 200ml Para Você Higiene Pessoal Desodorantes","Para Você","EAN/GTIN: 7791293035864",19.90,4
"Desodorante Aerosol Linda Tabu 150 ml","46240362","Marca: Tabu. Categoria: Higiene Pessoal. Tipo: Desodorantes. Embalagem: 150ml. Desodorante Aerosol Linda Tabu 150 ml Tabu DESODORANTE AEROSOL DESODORANTE AEROSSOL 150ml Para Você Higiene Pessoal Desodorantes","Para Você","EAN/GTIN: 7896049508712",9.90,8
"Desodorante Aerosol Men Elements Vulcan Above 150 ml","P5518","Marca: Above. Categoria: Higiene Pessoal. Tipo: Desodorantes. Embalagem: 150ml. O Above Desodorante Aerosol Men Elements Vulcan oferece uma proteção eficaz contra odores, mantendo você fresco durante todo o dia. Com uma fragrância marcante e envolvente, é ideal para homens que buscam um toque de sofisticação em sua rotina. Disponível em Cuiabá e Várzea Grande, é a escolha perfeita para quem valoriza qualidade e estilo.","Para Você","EAN/GTIN: 7899674027467",9.90,2
"Desodorante Aerosol Men Extreme Invisible Black 72 h Above 250 ml","7899674045881","Marca: Above. Categoria: Higiene Pessoal. Tipo: Desodorantes. Embalagem: 250 ml. O Desodorante Antitranspirante Aerossol Above Men Extreme Invisible Black 72H 250 ml oferece proteção intensa contra odores por até 72 horas, mantendo a sensação de frescor ao longo do dia. Sua fórmula avançada inibe os odores da transpiração e possui tecnologia Invisible Black, que evita manchas brancas em roupas escuras e manchas amarelas em roupas claras. Além disso, o jato seco proporciona uma aplicação rápida e sem resíduos, garantindo conforto e praticidade.","Para Você","EAN/GTIN: 7899674045881",12.90,6
"Desodorante Aerosol Ousada Tabu 150 ml","46235840","Marca: Tabu. Categoria: Higiene Pessoal. Tipo: Desodorantes. Embalagem: 150ml. Desodorante Aerosol Ousada Tabu 150 ml Tabu DESODORANTE AEROSOL DESODORANTE AEROSSOL 150ml Para Você Higiene Pessoal Desodorantes","Para Você","EAN/GTIN: 7896049508729",9.90,4
"Desodorante Aerosol Powder Dry Rexona 200 ml","88240720","Marca: Rexona. Categoria: Higiene Pessoal. Tipo: Desodorantes. Embalagem: 200ml. Desodorante Aerosol Powder Dry Rexona 200 ml Rexona DESODORANTE AEROSOL DESODORANTE AEROSSOL 200ml Para Você Higiene Pessoal Desodorantes","Para Você","EAN/GTIN: 7791293035802",19.90,2
"Desodorante Aerosol Tradicional Leite de Rosas 310 ml","555134J","Marca: Leite de Rosas. Categoria: Higiene Pessoal. Tipo: Desodorantes. Embalagem: 310ml. Desodorante Aerosol Tradicional Leite de Rosas 310 ml Leite de Rosas DESODORANTE AEROSOL DESODORANTE AEROSSOL 310ml Para Você Higiene Pessoal Desodorantes","Para Você","EAN/GTIN: 7896806700045",11.90,5
"Desodorante Aerosol V8 Rexona 200 ml","88510189","Marca: Rexona. Categoria: Higiene Pessoal. Tipo: Desodorantes. Embalagem: 200ml. Desodorante Aerosol V8 Rexona 200 ml Rexona DESODORANTE AEROSOL DESODORANTE AEROSSOL 200ml Para Você Higiene Pessoal Desodorantes","Para Você","EAN/GTIN: 7791293035871",19.90,1
"Desodorante Aerossol Derma Control NIVEA 200 ml","973964V","Marca: NIVEA. Categoria: Higiene Pessoal. Tipo: Desodorantes. Embalagem: 200ml. O desodorante aerossol NIVEA Derma Control oferece proteção eficaz contra o odor, mantendo a pele fresca e confortável. Ideal para quem busca um produto suave e de fácil aplicação, ele é perfeito para o dia a dia. Disponível na Dona Antônia, em Cuiabá e Várzea Grande, é uma excelente escolha para quem valoriza cuidados com a pele.","Para Você","EAN/GTIN: 4006000178868",18.90,11
"Desodorante Aerossol Fresh Above 150 ml","P1m77","Marca: Above. Categoria: Higiene Pessoal. Tipo: Desodorantes. Embalagem: 150ml. O Above Desodorante Aerosol Fresh é ideal para quem busca frescor e proteção ao longo do dia. Com uma fórmula leve e eficaz, ele proporciona uma sensação de limpeza e conforto, sendo perfeito para o uso diário. Disponível em Cuiabá e Várzea Grande, é a escolha certa para quem valoriza qualidade e praticidade.","Para Você","EAN/GTIN: 7899674017093",9.90,3
"Desodorante Aerossol Fresh Natural NIVEA 150 ml","9379970906","Marca: NIVEA. Categoria: Higiene Pessoal. Tipo: Desodorantes. Embalagem: 150ml. O desodorante NIVEA Aerossol Fresh Natural oferece uma proteção eficaz contra odores, mantendo a sensação de frescor ao longo do dia. Ideal para quem busca conforto e leveza, ele é uma excelente opção para o dia a dia. Disponível na Dona Antônia, em Cuiabá e Várzea Grande.","Para Você","EAN/GTIN: 7791969016012",14.90,2
"Desodorante Aerossol Invisible Power Black & White NIVEA 150 ml","P0113","Marca: NIVEA. Categoria: Higiene Pessoal. Tipo: Desodorantes. Embalagem: 150ml. O desodorante aerossol NIVEA Invisible Power é ideal para quem busca proteção contra o suor e odores. Com sua fórmula inovadora, ele proporciona uma sensação de frescor ao longo do dia, sendo uma ótima opção para a rotina diária. Disponível em Cuiabá e Várzea Grande, é uma escolha prática e eficaz para o seu dia a dia.","Para Você","EAN/GTIN: 4005900036728",15.90,5
"Desodorante Aerossol Men Original Protect NIVEA 200 ml","5140920091","Marca: NIVEA. Categoria: Higiene Pessoal. Tipo: Desodorantes. Embalagem: 200ml. Desodorante Aerossol Men Original Protect NIVEA 200 ml NIVEA DESODORANTE AEROSOL DESODORANTE AEROSSOL 200ml Para Você Higiene Pessoal Desodorantes","Para Você","EAN/GTIN: 4006000010311",18.90,3
"Desodorante Aerossol Tradicional Leite de Rosas 170 ml","900917B","Marca: Leite de Rosas. Categoria: Higiene Pessoal. Tipo: Desodorantes. Embalagem: 170ml. Desodorante Aerossol Tradicional Leite de Rosas 170 ml Leite de Rosas DESODORANTE AEROSOL DESODORANTE AEROSSOL 170ml Para Você Higiene Pessoal Desodorantes","Para Você","EAN/GTIN: 7896806700038",7.90,4
"Desodorante Antitranspirante Aerosol Black & White Feminino NIVEA 150 ml","P0111","Marca: NIVEA. Categoria: Higiene Pessoal. Tipo: Desodorantes. Embalagem: 150ml. O desodorante antitranspirante aerosol NIVEA Black & White é ideal para o uso diário, proporcionando proteção e frescor. Com sua fórmula leve, ele se adapta à rotina de quem busca conforto e segurança em Cuiabá e Várzea Grande. Experimente e sinta a diferença na sua rotina de cuidados pessoais.","Para Você","EAN/GTIN: 4005900036667",14.90,10
"Desodorante Antitranspirante Aerosol Black & White Invisible Clear Feminino NIVEA 200 ml","4005900105073","Marca: NIVEA. Categoria: Higiene Pessoal. Tipo: Desodorantes. Embalagem: 200ml. O Desodorante Antitranspirante Aerosol NIVEA Black & White Invisible Clear Feminino 200ml Embalagem Econômica oferece proteção antitranspirante por até 72 horas, prevenindo manchas brancas em roupas escuras e manchas amarelas em roupas claras. Sua fórmula 5x anti combate odores, suor, manchas, resíduos nas roupas e irritação na pele. Dermatologicamente testado, é livre de álcool etílico e corantes, proporcionando cuidado suave para a pele das axilas.","Para Você","EAN/GTIN: 4005900105073",19.90,30
"Desodorante Antitranspirante Aerosol Clubes Flamengo Above 150 ml","7899674025029","Marca: Above. Categoria: Higiene Pessoal. Tipo: Desodorantes. Embalagem: 150 ml. O desodorante antitranspirante aerosol ABOVE Clubes Flamengo oferece proteção de até 48 horas contra suor e mau odor, mantendo a sensação de frescor. Sua embalagem de 150 ml é ideal para uso diário, proporcionando praticidade e eficiência.","Para Você","EAN/GTIN: 7899674025029",11.90,2
"Desodorante Antitranspirante Aerosol Deep Men Carvão Ativado NIVEA 150 ml","45039235","Marca: NIVEA. Categoria: Higiene Pessoal. Tipo: Desodorantes. Embalagem: 150ml. O desodorante antitranspirante NIVEA Men com carvão ativado é ideal para o dia a dia, proporcionando proteção e frescor. Perfeito para quem busca um produto eficaz na rotina de cuidados pessoais, ele é uma ótima opção para os moradores de Cuiabá e Várzea Grande. Experimente e sinta a diferença na sua rotina.","Para Você","EAN/GTIN: 4005900707536",14.90,5
"Desodorante Antitranspirante Aerossol Active Dry Impact NIVEA MEN 200 ml","4005900633309","Marca: NIVEA. Categoria: Higiene Pessoal. Tipo: Desodorantes. Embalagem: 200ml. O NIVEA MEN Desodorante Antitranspirante Aerossol Active Dry Impact 200ml oferece proteção eficaz contra suor e mau odor por até 72 horas, mantendo a pele das axilas seca e confortável. Sua fórmula sem álcool etílico é dermatologicamente testada, sendo adequada para todos os tipos de pele. Além disso, possui ação antibacteriana e embalagem econômica.","Para Você","EAN/GTIN: 4005900633309",18.90,3
"Desodorante Antitranspirante Aerossol Dry Comfort NIVEA 200 ml","688359M","Marca: NIVEA. Categoria: Higiene Pessoal. Tipo: Desodorantes. Embalagem: 200ml. O desodorante antitranspirante NIVEA Dry Comfort oferece proteção eficaz contra o suor e odores, mantendo você fresca ao longo do dia. Com sua fórmula leve e de rápida secagem, é ideal para o uso diário. Disponível em Cuiabá e Várzea Grande, é a escolha perfeita para quem busca conforto e segurança.","Para Você","EAN/GTIN: 4005900633293",18.90,10
"Desodorante Antitranspirante Aerossol Men Deep Nivea 200 ml","6595710284","Marca: NIVEA. Categoria: Higiene Pessoal. Tipo: Desodorantes. Embalagem: 200ml. O desodorante antitranspirante NIVEA Men Deep é ideal para o dia a dia, proporcionando proteção contra o suor e odores. Com sua fórmula que contém carvão ativado, ele é perfeito para quem busca frescor e conforto. Disponível em Cuiabá e Várzea Grande, é uma escolha prática para homens que se preocupam com a higiene pessoal.","Para Você","EAN/GTIN: 4006000104256",14.90,2
"Desodorante Antitranspirante Aerossol Original Protect NIVEA Men 150 ml","45271989","Marca: NIVEA. Categoria: Higiene Pessoal. Tipo: Desodorantes. Embalagem: 150ml. O desodorante NIVEA Men Original Protect é ideal para o uso diário, proporcionando proteção contra o suor e odores. Com sua fórmula leve, ele se encaixa perfeitamente na rotina de cuidados pessoais, garantindo frescor ao longo do dia. Disponível em Cuiabá e Várzea Grande, é uma escolha prática para quem busca conforto e proteção.","Para Você","EAN/GTIN: 4005900396938",14.90,8
"Desodorante Antitranspirante Aerossol Pearl & Beauty NIVEA 200 ml","P-FN88","Marca: NIVEA. Categoria: Higiene Pessoal. Tipo: Desodorantes. Embalagem: 200ml. O NIVEA Desodorante Antitranspirante Aerossol Pearl & Beauty oferece proteção eficaz contra o suor, mantendo a pele fresca e suave. Com uma fragrância delicada, é ideal para o uso diário, proporcionando conforto e segurança. Disponível em Cuiabá e Várzea Grande, é uma escolha perfeita para quem busca um desodorante de qualidade.","Para Você","EAN/GTIN: 4006000010328",18.90,11
"Desodorante Antitranspirante Roll-on Dry Comfort NIVEA 50 ml","P-4KDT","Marca: NIVEA. Categoria: Higiene Pessoal. Tipo: Desodorantes. Embalagem: 50ml. O Desodorante NIVEA Antitranspirante Roll On Dry Comfort 50ml é ideal para quem busca proteção contra o suor e odores. Pode ser utilizado diariamente para manter a sensação de frescor e conforto. Na Dona Antônia, você encontra produtos de higiene e beleza para Cuiabá e Várzea Grande.","Para Você","EAN/GTIN: 4005900181015",11.90,5
"Desodorante Antitranspirante Roll-On Pearl & Beauty NIVEA 50 ml","P-DH78","Marca: NIVEA. Categoria: Higiene Pessoal. Tipo: Desodorantes. Embalagem: 50ml. O Desodorante NIVEA Antitranspirante Roll-On Pearl & Beauty 50ml é ideal para quem busca proteção e suavidade. Pode ser utilizado diariamente para manter a sensação de frescor e conforto. Na Dona Antônia, você encontra produtos de higiene e beleza para Cuiabá e Várzea Grande.","Para Você","EAN/GTIN: 4005808257669",11.90,9
"Desodorante Antitranspirante Roll-on Protect & Care NIVEA 50 ml","P-7DL2","Marca: NIVEA. Categoria: Higiene Pessoal. Tipo: Desodorantes. Embalagem: 50ml. O Desodorante NIVEA Antitranspirante Roll-On Protect & Care 50ml é ideal para quem busca proteção contra o suor e odores. Pode ser utilizado diariamente para manter a sensação de frescor e conforto. Na Dona Antônia, você encontra produtos de higiene e beleza para Cuiabá e Várzea Grande.","Para Você","EAN/GTIN: 4005900130785",11.90,4
"Desodorante Creme Action Herbíssimo 55 g","66048796","Marca: Herbíssimo. Categoria: Higiene Pessoal. Tipo: Desodorantes. Embalagem: 55g. Desodorante Creme Action Herbíssimo 55 g Herbíssimo DESODORANTE CREME DESODORANTE CREME 55g Para Você Higiene Pessoal Desodorantes","Para Você","EAN/GTIN: 7896049528598",5.49,4
"Desodorante Creme Antitranspirante Herbíssimo Neutro Refil 45g","P0115","Marca: Herbíssimo. Categoria: Higiene Pessoal. Tipo: Desodorantes. Embalagem: Unidade. O desodorante creme antitranspirante Herbíssimo é ideal para quem busca proteção e conforto no dia a dia. Com sua fórmula neutra, ele se adapta a diferentes tipos de pele, proporcionando uma sensação de frescor. Perfeito para ser utilizado em qualquer rotina, é uma ótima opção para quem vive em Cuiabá e Várzea Grande e deseja se sentir bem ao longo do dia.","Para Você","EAN/GTIN: 7896049528772",1.90,9
"Desodorante Creme Candy Above 50 g","55892446","Marca: Above. Categoria: Higiene Pessoal. Tipo: Desodorantes. Embalagem: 50g. O Above Desodorante Creme Candy é ideal para quem busca proteção e frescor ao longo do dia. Com uma textura cremosa, ele proporciona uma aplicação suave e eficaz, garantindo conforto e bem-estar. Disponível em Cuiabá e Várzea Grande, é a escolha perfeita para quem valoriza produtos de qualidade.","Para Você","EAN/GTIN: 7899674040718",5.79,9
"Desodorante Creme Flores Tabu 55 g","P0129","Marca: Tabu. Categoria: Higiene Pessoal. Tipo: Desodorantes. Embalagem: 55g. Desodorante Creme Flores Tabu 55 g Tabu DESODORANTE CREME DESODORANTE CREME 55g Para Você Higiene Pessoal Desodorantes","Para Você","EAN/GTIN: 7896049508521",5.99,1
"Desodorante Creme Ocean Above 50 g","P28965c","Marca: Above. Categoria: Higiene Pessoal. Tipo: Desodorantes. Embalagem: 50g. O Above Desodorante Creme Ocean oferece uma proteção eficaz contra odores, mantendo a sensação de frescor ao longo do dia. Com sua fórmula suave, é ideal para quem busca conforto e segurança. Disponível em Cuiabá e Várzea Grande, é uma excelente escolha para o seu dia a dia.","Para Você","EAN/GTIN: 7899674040756",5.79,10
"Desodorante Creme Refil Sensitive Herbíssimo 45 g","P0116","Marca: Herbíssimo. Categoria: Higiene Pessoal. Tipo: Desodorantes. Embalagem: Unidade. Desodorante Creme Refil Sensitive Herbíssimo 45 g Herbíssimo DESODORANTE CREME DESODORANTE CREME Unidade Para Você Higiene Pessoal Desodorantes","Para Você","EAN/GTIN: 7896049528789",1.99,10
"Desodorante Creme Refil Tradicional Herbíssimo","P0117","Marca: Herbíssimo. Categoria: Higiene Pessoal. Tipo: Desodorantes. Embalagem: Unidade. Desodorante Creme Refil Tradicional Herbíssimo Herbíssimo DESODORANTE CREME DESODORANTE CREME Unidade Para Você Higiene Pessoal Desodorantes","Para Você","EAN/GTIN: 7896049528741",1.99,11
"Desodorante Creme Tradicional Herbíssimo 55 g","P0128","Marca: Herbíssimo. Categoria: Higiene Pessoal. Tipo: Desodorantes. Embalagem: 55g. Desodorante Creme Tradicional Herbíssimo 55 g Herbíssimo DESODORANTE CREME DESODORANTE CREME 55g Para Você Higiene Pessoal Desodorantes","Para Você","EAN/GTIN: 7896049528512",5.49,5
"Desodorante hidratante corporal Frutas Vermelhas Monange 400 ml","576525G","Marca: Monange. Categoria: Beleza e Cuidados. Tipo: Cuidados Corporais. Embalagem: 400ml. Desodorante hidratante corporal Frutas Vermelhas Monange 400 ml Monange DESODORANTE AEROSOL DESODORANTE AEROSSOL 400ml Para Você Beleza e Cuidados Cuidados Corporais","Para Você","EAN/GTIN: 7898919412297",17.90,5
"Desodorante Hidratante Corporal Tentadora Paixão 400 ml","651183X","Marca: Paixão. Categoria: Beleza e Cuidados. Tipo: Cuidados Corporais. Embalagem: 400ml. Desodorante Hidratante Corporal Tentadora Paixão 400 ml Paixão DESODORANTE AEROSOL DESODORANTE AEROSSOL 400ml Para Você Beleza e Cuidados Cuidados Corporais","Para Você","EAN/GTIN: 7898919412273",22.90,7
"Desodorante Roll-On Blue Giovanna Baby 50 ml","61000598","Marca: Giovanna Baby. Categoria: Higiene Pessoal. Tipo: Desodorantes. Embalagem: 50ml. Desodorante Roll-On Blue Giovanna Baby 50 ml Giovanna Baby DESODORANTE ROLL-ON DESODORANTE ROLL-ON 50ml Para Você Higiene Pessoal Desodorantes","Para Você","EAN/GTIN: 7896044928539",9.69,5
"Desodorante Roll-On Classic Giovanna Baby 50 ml","88091616","Marca: Giovanna Baby. Categoria: Higiene Pessoal. Tipo: Desodorantes. Embalagem: 50ml. Desodorante Roll-On Classic Giovanna Baby 50 ml Giovanna Baby DESODORANTE ROLL-ON DESODORANTE ROLL-ON 50ml Para Você Higiene Pessoal Desodorantes","Para Você","EAN/GTIN: 7896044928515",9.69,7
"Desodorante Roll-On Deep NIVEA MEN 50 ml","6536330140","Marca: NIVEA. Categoria: Higiene Pessoal. Tipo: Desodorantes. Embalagem: 50ml. O NIVEA MEN Desodorante Roll-On Deep é ideal para o homem moderno que busca proteção e frescor ao longo do dia. Com sua fórmula eficaz, ele proporciona uma sensação de limpeza e conforto, sendo perfeito para o uso diário. Disponível em Cuiabá e Várzea Grande, é uma escolha prática para quem valoriza cuidados pessoais.","Para Você","EAN/GTIN: 4006000104157",10.90,4
"Desodorante Roll-On Derma Control Defende NIVEA 50 ml","42940421","Marca: NIVEA. Categoria: Higiene Pessoal. Tipo: Desodorantes. Embalagem: 50ml. Desodorante Roll-On Derma Control Defende NIVEA 50 ml NIVEA DESODORANTE ROLL-ON DESODORANTE ROLL-ON 50ml Para Você Higiene Pessoal Desodorantes","Para Você","EAN/GTIN: 4006000181936",10.90,4
"Desodorante Roll-On Derma Control Restaura NIVEA 50 ml","4402980254","Marca: NIVEA. Categoria: Higiene Pessoal. Tipo: Desodorantes. Embalagem: 50ml. O desodorante roll-on NIVEA Derma Control RESTAURA é ideal para quem busca proteção e cuidado para a pele. Com sua fórmula suave, ele é perfeito para o uso diário, proporcionando frescor e conforto ao longo do dia. Disponível na Dona Antônia, em Cuiabá e Várzea Grande, é uma excelente opção para quem valoriza a saúde da pele.","Para Você","EAN/GTIN: 4006000181950",10.90,10
"Desodorante Roll-on Derma Control Uniformiza Nivea 50 ml","0948350499","Marca: NIVEA. Categoria: Higiene Pessoal. Tipo: Desodorantes. Embalagem: 50ml. O desodorante roll-on NIVEA Derma Control é ideal para quem busca proteção e conforto ao longo do dia. Com sua fórmula suave, ele ajuda a uniformizar a pele, proporcionando uma sensação de frescor. Perfeito para o uso diário, é uma ótima opção para quem vive em Cuiabá ou Várzea Grande e deseja se sentir confiante em qualquer situação.","Para Você","EAN/GTIN: 4006000181943",10.90,3
"Desodorizante Sanitário Catarina 25 g","7898101350109","Categoria: Limpeza. Tipo: Limpeza de Banheiro. Embalagem: Peso Líquido 25g. O Desodorizante Sanitário Catarina, com peso líquido de 25g, é um produto de uso domiciliar que combate odores desagradáveis no vaso sanitário, deixando uma sensação de frescor e limpeza. Sua composição inclui 99% de paradiclorobenzeno, uma substância sublimável com ação desinfetante. A embalagem contém um gancho plástico e uma pedra sanitária, facilitando a aplicação na borda do vaso. Recomenda-se conservar fora do alcance de crianças e animais domésticos.","Para Casa","EAN/GTIN: 7898101350109",1.89,50
